City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,lihue,21.9789,-159.3672,29.58,74,40,8.75,US,2023-08-08 03:35:23
159,arenapolis,-14.4503,-56.8461,25.39,43,48,1.41,BR,2023-08-08 03:35:23
160,preston,53.7667,-2.7167,14.62,92,80,2.17,GB,2023-08-08 03:32:36
161,palpala,-24.2565,-65.2116,14.57,29,100,2.06,AR,2023-08-08 03:35:24
162,al hudaydah,14.7978,42.9545,31.36,72,93,3.86,YE,2023-08-08 03:35:25
163,sitka,57.0531,-135.33,17.94,68,100,4.12,US,2023-08-08 03:35:25
164,kadi,23.3,72.3333,27.92,74,100,5.5,IN,2023-08-08 03:35:26
165,harper,4.375,-7.7169,23.92,91,42,3.15,LR,2023-08-08 03:35:26
166,praia da vitoria,38.7333,-27.0667,21.53,94,75,0.9,PT,2023-08-08 03:32:29
167,berd,40.8815,45.3899,25.18,52,0,0.6,AM,2023-08-08 03:35:28
168,el calafate,-50.3408,-72.2768,-0.77,64,100,1.24,AR,2023-08-08 03:35:29
169,guerrero negro,27.9769,-114.0611,24.33,77,1,5.67,MX,2023-08-08 03:35:29
170,tsiombe,-25.3,45.4833,17.76,75,5,1.46,MG,2023-08-08 03:35:30
171,flying fish cove,-10.4217,105.6791,25.82,83,100,6.17,CX,2023-08-08 03:35:30
172,balkh,36.75,67.0,34.13,17,0,1.82,AF,2023-08-08 03:35:31
173,rawlins,41.7911,-107.2387,17.42,55,0,3.09,US,2023-08-08 03:35:31
174,pariaman,-0.619,100.12,29.03,71,48,2.7,ID,2023-08-08 03:35:32
175,kavaratti,10.5669,72.642,27.89,76,100,8.25,IN,2023-08-08 03:35:32
176,chonchi,-42.6128,-73.8092,8.95,84,100,2.16,CL,2023-08-08 03:35:33
177,pocatello,42.8713,-112.4455,20.95,57,0,3.09,US,2023-08-08 03:31:20
178,nar'yan-mar,67.6713,53.087,11.89,65,89,4.32,RU,2023-08-08 03:35:34
179,bengkulu,-3.8004,102.2655,28.99,69,37,3.49,ID,2023-08-08 03:35:34
180,cabedelo,-6.9811,-34.8339,24.37,86,31,5.32,BR,2023-08-08 03:35:35
181,petatlan,17.5167,-101.2667,26.43,82,2,1.58,MX,2023-08-08 03:35:36
182,lompoc,34.6391,-120.4579,21.08,94,100,0.89,US,2023-08-08 03:35:36
183,wewak,-3.5534,143.6268,28.09,75,15,3.54,PG,2023-08-08 03:35:37
184,shush,32.1942,48.2436,35.73,15,0,1.95,IR,2023-08-08 03:35:37
185,kodiak,57.79,-152.4072,13.73,94,100,3.09,US,2023-08-08 03:35:35
186,riasi,33.0833,74.8333,28.44,87,2,1.25,IN,2023-08-08 03:35:38
187,udachny,66.4167,112.4,21.92,43,95,4.17,RU,2023-08-08 03:35:38
188,kill devil hills,36.0307,-75.676,28.32,83,40,4.63,US,2023-08-08 03:35:39
189,dunedin,-45.8742,170.5036,7.11,64,99,4.92,NZ,2023-08-08 03:35:39
190,ulladulla,-35.35,150.4667,15.15,61,5,3.54,AU,2023-08-08 03:34:09
191,tomatlan,19.9333,-105.25,26.41,83,34,0.77,MX,2023-08-08 03:35:41
192,alofi,-19.0595,-169.9187,24.94,88,75,5.14,NU,2023-08-08 03:35:41
193,geraldton,-28.7667,114.6,22.23,78,6,8.75,AU,2023-08-08 03:35:42
194,san antonio de pale,-1.4014,5.6325,22.55,81,100,4.56,GQ,2023-08-08 03:35:42
195,lampasas,31.2168,-98.2336,32.83,37,1,4.39,US,2023-08-08 03:35:43
196,guiuan,11.0333,125.7247,29.17,72,99,5.1,PH,2023-08-08 03:35:43
197,lent'ekhi,42.7856,42.7261,24.31,58,4,1.92,GE,2023-08-08 03:35:44
198,aasiaat,68.7098,-52.8699,0.11,85,15,1.07,GL,2023-08-08 03:35:44
199,stanley,54.868,-1.6985,9.55,88,0,3.6,GB,2023-08-08 03:31:27
200,zapala,-38.8992,-70.0544,4.88,48,100,1.19,AR,2023-08-08 03:35:45
201,bishkek,42.87,74.59,20.11,28,63,3.02,KG,2023-08-08 03:35:46
202,booneville,34.6582,-88.5667,25.68,73,0,2.26,US,2023-08-08 03:35:46
203,pacific grove,36.6177,-121.9166,16.78,92,100,4.47,US,2023-08-08 03:35:46
204,saipan,15.1355,145.701,31.39,100,75,4.12,MP,2023-08-08 03:35:47
205,qarazhal,48.0078,70.7903,24.76,47,100,2.54,KZ,2023-08-08 03:35:48
206,isla mujeres,21.2311,-86.731,29.03,82,5,4.22,MX,2023-08-08 03:35:48
207,darlowo,54.421,16.4107,14.74,76,100,15.11,PL,2023-08-08 03:35:48
208,mont-tremblant,46.1949,-74.6264,16.77,94,100,1.54,CA,2023-08-08 03:29:18
209,ola,59.5833,151.2833,17.86,49,87,4.08,RU,2023-08-08 03:35:49
210,queenstown,-31.8976,26.8753,11.0,38,2,2.73,ZA,2023-08-08 03:35:50
211,turan,16.0678,108.2208,33.99,49,0,4.12,VN,2023-08-08 03:32:38
212,mokhsogollokh,61.4681,128.9203,23.03,20,15,4.0,RU,2023-08-08 03:35:52
213,fairbanks,64.8378,-147.7164,22.9,65,75,2.06,US,2023-08-08 03:33:31
214,dhuusamarreeb,5.535,46.3861,23.29,72,25,9.55,SO,2023-08-08 03:35:53
215,ribeira grande,38.5167,-28.7,20.99,83,2,2.68,PT,2023-08-08 03:35:53
216,sungai penuh,-2.0833,101.3833,26.92,55,5,1.01,ID,2023-08-08 03:32:52
217,tual,-5.6667,132.75,25.69,77,46,8.58,ID,2023-08-08 03:35:54
218,prince rupert,54.3161,-130.3201,14.05,95,100,18.01,CA,2023-08-08 03:33:50
219,trebinje,42.7119,18.3442,19.2,45,0,12.86,BA,2023-08-08 03:35:55
220,kerikeri,-35.2268,173.9474,11.2,89,100,3.34,NZ,2023-08-08 03:35:56
221,mount isa,-20.7333,139.5,25.87,25,94,4.12,AU,2023-08-08 03:35:56
222,nampula,-15.1165,39.2666,15.44,99,47,1.93,MZ,2023-08-08 03:35:57
223,troy,42.6056,-83.1499,19.19,84,0,1.54,US,2023-08-08 03:35:57
224,la junta,37.985,-103.5438,24.16,55,0,4.63,US,2023-08-08 03:35:58
225,yanam,16.7333,82.2167,31.05,59,99,3.9,IN,2023-08-08 03:35:58
226,valparaiso,-33.0393,-71.6273,15.0,67,100,1.03,CL,2023-08-08 03:32:21
227,afaahiti,-17.75,-149.2833,26.93,79,91,4.88,PF,2023-08-08 03:35:59
228,daund,18.4667,74.6,26.91,65,100,7.29,IN,2023-08-08 03:36:00
229,vrangel',42.7297,133.0839,18.47,86,100,5.42,RU,2023-08-08 03:36:00
230,badger,64.8,-147.5333,22.85,65,75,2.06,US,2023-08-08 03:36:01
231,claveria,18.6074,121.0832,31.55,65,100,5.5,PH,2023-08-08 03:36:01
232,sivagiri,9.3333,77.4333,30.4,52,100,2.41,IN,2023-08-08 03:36:02
233,minas de marcona,-15.2119,-75.1103,12.41,87,23,4.01,PE,2023-08-08 03:36:02
234,angaur state,6.906,134.13,28.46,75,85,8.37,PW,2023-08-08 03:36:03
235,nakamura,32.9833,132.9333,27.28,96,96,6.18,JP,2023-08-08 03:36:03
236,gizo,-8.103,156.8419,25.75,87,100,9.11,SB,2023-08-08 03:36:06
237,atbasar,51.8,68.3333,23.04,36,96,4.83,KZ,2023-08-08 03:36:07
238,tierra blanca,14.5833,-88.5833,20.76,99,96,0.8,HN,2023-08-08 03:36:08
239,tobol'sk,58.2,68.2667,22.73,58,100,2.18,RU,2023-08-08 03:36:08
240,christchurch,-43.5333,172.6333,10.51,54,20,3.09,NZ,2023-08-08 03:26:24
241,moroni,-11.7022,43.2551,22.0,83,20,2.57,KM,2023-08-08 03:36:09
242,chauk,20.8833,94.8167,28.26,75,98,8.59,MM,2023-08-08 03:36:10
243,maceio,-9.6658,-35.7353,21.69,100,75,0.0,BR,2023-08-08 03:33:48
244,qujing,25.4833,103.7833,23.51,69,95,3.17,CN,2023-08-08 03:32:54
245,parkes,-33.1333,148.1833,17.97,43,18,2.21,AU,2023-08-08 03:36:13
246,tuba city,36.135,-111.2399,30.21,28,19,1.79,US,2023-08-08 03:36:14
247,ndibene dahra,15.3338,-15.4766,24.28,77,22,4.91,SN,2023-08-08 03:36:15
248,saldanha,-33.0117,17.9442,13.03,95,47,4.18,ZA,2023-08-08 03:35:05
249,alice springs,-23.7,133.8833,21.75,30,3,5.14,AU,2023-08-08 03:36:16
250,dudinka,69.4058,86.1778,19.79,58,100,4.35,RU,2023-08-08 03:36:17
251,bac lieu,9.285,105.7244,31.35,61,24,5.86,VN,2023-08-08 03:36:18
252,kandyagash,49.4744,57.4233,24.26,55,2,3.9,KZ,2023-08-08 03:36:18
253,dodoma,-6.1722,35.7395,14.72,83,0,1.93,TZ,2023-08-08 03:36:19
254,mugia,43.1041,-9.2179,20.51,71,0,9.23,ES,2023-08-08 03:36:19
255,zhigalovo,54.8097,105.1578,26.06,45,49,2.59,RU,2023-08-08 03:36:20
256,vangaindrano,-23.35,47.6,17.24,93,7,1.19,MG,2023-08-08 03:36:22
